State,FIPS,Average Annual Count,Recent Trend,incidence_rate_trend,county,State_Code,Cancer_Rate
New York,36015,580,stable,-0.5,Chemung,NY,0.5168
Virginia,51790,178,stable,-0.8,Staunton City,VA,0.5166000000000001
South Dakota,46069,11,stable,-4.3,Hyde,SD,0.5166000000000001
Kentucky,21031,84,stable,-0.1,Butler,KY,0.5164
Montana,30095,70,stable,5.2,Stillwater,MT,0.5162000000000001
New York,36097,132,stable,-0.2,Schuyler,NY,0.5162000000000001
Michigan,26055,610,stable,-2.5,Grand Traverse,MI,0.516
Kentucky,21075,45,stable,0.4,Fulton,KY,0.516
Alabama,1127,447,stable,0.2,Walker,AL,0.5157999999999999
Georgia,13159,88,unknown,0.0,Jasper,GA,0.5157
West Virginia,54043,143,stable,2.7,Lincoln,WV,0.5155
Maine,23029,256,stable,1.5,Washington,ME,0.515
Kentucky,21169,67,stable,0.6,Metcalfe,KY,0.5149
Indiana,18053,459,stable,2.1,Grant,IN,0.5147999999999999
Kentucky,21113,281,stable,-0.1,Jessamine,KY,0.5142999999999999
Virginia,51131,102,stable,2.7,Northampton,VA,0.5142000000000001
South Dakota,46041,25,stable,-11.1,Dewey,SD,0.5141000000000001
North Carolina,37151,911,falling,-1.4,Randolph,NC,0.514
New York,36003,310,stable,-0.1,Allegany,NY,0.5137999999999999
South Carolina,45023,220,stable,-1.2,Chester,SC,0.5134000000000001
Montana,30017,85,stable,-0.6,Custer,MT,0.5133000000000001
New York,36011,529,stable,2.9,Cayuga,NY,0.5133000000000001
Alabama,1085,71,rising,11.2,Lowndes,AL,0.5133000000000001
Georgia,13239,22,stable,0.6,Quitman,GA,0.5131
Kentucky,21205,125,stable,0.3,Rowan,KY,0.5131
New York,36057,333,falling,-0.7,Montgomery,NY,0.513
Georgia,13119,150,rising,1.4,Franklin,GA,0.5129
Kentucky,21009,278,stable,0.4,Barren,KY,0.5127
Kentucky,21073,316,falling,-0.8,Franklin,KY,0.5127
New Jersey,34011,891,stable,-6.2,Cumberland,NJ,0.5125000000000001
Montana,30087,54,stable,-3.2,Rosebud,MT,0.5123
Arkansas,5075,115,rising,10.3,Lawrence,AR,0.5122000000000001
Illinois,17183,534,stable,-1.6,Vermilion,IL,0.5121
Kentucky,21151,455,stable,-0.5,Madison,KY,0.5121
Iowa,19137,78,stable,0.3,Montgomery,IA,0.512
South Dakota,46023,60,stable,-4.6,Charles Mix,SD,0.5118999999999999
Mississippi,28091,165,stable,2.5,Marion,MS,0.5118999999999999
Florida,12017,1454,stable,-2.2,Citrus,FL,0.5118
South Dakota,46115,46,stable,6.2,Spink,SD,0.5114000000000001
Georgia,13143,175,stable,0.8,Haralson,GA,0.5114000000000001
Louisiana,22109,610,rising,0.7,Terrebonne,LA,0.5113000000000001
Tennessee,47151,133,stable,-3.2,Scott,TN,0.5113000000000001
Indiana,18159,106,stable,3.0,Tipton,IN,0.5112
Georgia,13065,41,stable,-0.2,Clinch,GA,0.5112
Tennessee,47043,310,stable,0.9,Dickson,TN,0.511
Kentucky,21187,69,stable,0.2,Owen,KY,0.511
North Carolina,37133,689,stable,1.5,Onslow,NC,0.511
