Site Name,Site Score,State,normalized_county,Status,Latitude,Longitude,Fips
"Barrels, Inc.",42.24,Michigan,Ingham,NPL Site,42.749031,-84.54333100000002,26065
"Parsons Chemical Works, Inc.",31.32,Michigan,Eaton,NPL Site,42.7547,-84.7677,26045
"Bofors Nobel, Inc.",53.42,Michigan,Muskegon,NPL Site,43.209364,-86.11746,26121
Kaydon Corp.,34.21,Michigan,Muskegon,NPL Site,43.2007,-86.2908,26121
Solitron Microwave,50.0,Florida,Martin,NPL Site,27.136667,-80.199167,12085
Adam's Plating,29.64,Michigan,Ingham,NPL Site,42.739439,-84.587781,26065
"Allied Paper, Inc./Portage Creek/Kalamazoo River",36.41,Michigan,Allegan,NPL Site,42.303333,-85.576083,26005
Hi-Mill Manufacturing Co.,49.54,Michigan,Oakland,NPL Site,42.649831,-83.593089,26125
Bendix Corp./Allied Automotive,37.27,Michigan,Berrien,NPL Site,42.04945,-86.51195,26021
"State Disposal Landfill, Inc.",42.24,Michigan,Kent,NPL Site,43.013397,-85.590506,26081
Muskegon Chemical Co.,34.19,Michigan,Muskegon,NPL Site,43.3891,-86.334,26121
Peerless Plating Co.,43.94,Michigan,Muskegon,NPL Site,43.2056,-86.2237,26121
Albion-Sheridan Township Landfill,33.79,Michigan,Calhoun,NPL Site,42.24955,-84.7195,26025
Aircraft Components (D & L Sales),0.0,Michigan,Berrien,NPL Site,42.126944,-86.454444,26021
Kysor Industrial Corp.,33.94,Michigan,Wexford,NPL Site,44.2568,-85.4226,26165
Gratiot County Golf Course,29.54,Michigan,Gratiot,NPL Site,43.415842,-84.62324699999998,26057
Ten-Mile Drain,48.88,Michigan,Macomb,NPL Site,42.486944,-82.899167,26099
DSC McLouth Steel Gibraltar Plant,50.0,Michigan,Wayne,NPL Site,42.103075,-83.200292,26163
McLouth Steel Corp,50.0,Michigan,Wayne,NPL Site,42.160597,-83.170906,26163
Burlington Northern (Brainerd/Baxter Plant),46.77,Minnesota,Crow Wing,NPL Site,46.3532,-94.2282,27035
FMC Corp. (Fridley Plant),65.5,Minnesota,Anoka,NPL Site,45.0565,-93.2762,27003
Koppers Coke,55.05,Minnesota,Ramsey,NPL Site,44.972219,-93.152781,27123
Lehillier/Mankato Site,42.49,Minnesota,Blue Earth,NPL Site,44.153331,-94.038331,27013
New Brighton/Arden Hills/TCAAP (USARMY),59.16,Minnesota,Ramsey,NPL Site,45.079169,-93.1975,27123
Oakdale Dump,55.71,Minnesota,Washington,NPL Site,45.0,-92.966669,27163
