country,name,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,state,normalized_county,5years_generation_gwh
USA,Alliant SBD 9901 Wells Fargo,1.1,41.9244,-91.6385,Oil,2001,Iowa,Linn,0.00998
USA,Alliant SBD0201 Ingredion,6.1,41.9701,-91.6662,Oil,2003,Iowa,Linn,0.20446
USA,Alliant SBG 9802 Toyota,1.0,42.0277,-91.7111,Gas,1999,Iowa,Linn,0.057580000000000006
USA,Allison Creek Hydro,6.5,61.0844,-146.3533,Hydro,2016,Alaska,Valdez-Cordova,
USA,Almond Power Plant,223.5,37.5744,-120.985,Gas,2008,California,Stanislaus,869.6379999999999
USA,Aloha Solar Energy Fund 1 PK1,5.0,21.4069,-158.1514,Solar,2017,Hawaii,Honolulu,
USA,Alpaca,21.0,41.6631,-76.8056,Gas,2017,Pennsylvania,Bradford,
USA,Alpaugh 50,50.0,35.8983,-119.4353,Solar,2013,California,Tulare,653.54817
USA,Alpaugh North,20.0,35.9025,-119.4428,Solar,2013,California,Tulare,258.16973
USA,Alpha Ridge LFG,1.0,39.305,-76.9019,Waste,2012,Maryland,Howard,28.068
USA,Alpine Power Plant,453.8,45.0637,-84.8253,Gas,2016,Michigan,Otsego,
USA,Alpine Solar,66.0,34.7892,-118.5047,Solar,2013,California,Los Angeles,832.162
USA,Alsey,173.0,39.5698,-90.436,Gas,2003,Illinois,Scott,36.528999999999996
USA,Alta Luna,28.1,32.572,-107.4865,Solar,2017,New Mexico,Dona Ana,
USA,Alta Municipal Utilities,1.0,42.6736,-95.3026,Oil,1947,Iowa,Buena Vista,0.008
USA,Alta Powerhouse,1.0,39.216,-120.8036,Hydro,1902,California,Placer,16.468
USA,Alta Wind Energy Center I,150.0,35.0337,-118.3534,Wind,2011,California,Kern,1923.2410000000002
USA,Alta Wind Energy Center II,150.0,35.0239,-118.2953,Wind,2011,California,Kern,1643.843
USA,Alta Wind Energy Center III,150.0,35.0239,-118.2953,Wind,2011,California,Kern,1741.5449999999998
USA,Alta Wind Energy Center IV,102.0,35.0086,-118.2422,Wind,2011,California,Kern,827.9860000000001
USA,Alta Wind Energy Center V,168.0,35.0086,-118.2422,Wind,2011,California,Kern,1329.995
USA,Alta Wind VIII,150.0,35.0267,-118.2348,Wind,2012,California,Kern,1345.77
USA,Alta Wind X,138.0,35.06,-118.2,Wind,2014,California,Kern,
USA,Alta Wind XI,90.0,35.065,-118.39,Wind,2014,California,Kern,
USA,AltaGas Pomona Energy Inc.,66.0,34.0594,-117.7742,Gas,1995,California,Los Angeles,311.085
USA,AltaGas Ripon Energy Inc.,49.5,37.7325,-121.116,Gas,1988,California,San Joaquin,306.578
USA,Altamont,7.2,39.0687,-88.7555,Oil,2003,Illinois,Effingham,0.47000000000000003
USA,Altamont Gas Recovery,8.6,37.7493,-121.6499,Waste,1985,California,San Joaquin,240.10299999999998
USA,Altavista Power Station,71.1,37.1187,-79.2736,Waste,1992,Virginia,Campbell,275.603002
USA,Altech III,25.1,33.915,-116.5551,Wind,1985,California,Riverside,156.755
USA,Amalgamated Sugar LLC Nampa,8.7,43.6058,-116.5753,Gas,1961,Idaho,Canyon,191.29981
USA,Amalgamated Sugar Twin Falls,10.2,42.5328,-114.4328,Coal,1976,Idaho,Twin Falls,247.44915
USA,Amana Society Service Company,21.6,41.7932,-91.8918,Oil,2001,Iowa,Benton,
USA,Amazon,4.2,40.5664,-74.2214,Solar,2012,New Jersey,Middlesex,29.695999999999998
USA,Amazon - Patterson PV,2.5,37.4689,-121.1663,Solar,2017,California,Stanislaus,
USA,Amazon San Bernardino,1.1,34.0884,-117.2458,Gas,2014,California,San Bernardino,
USA,Ambler,1.1,67.08800000000001,-157.8567,Oil,1994,Alaska,North Slope,
USA,Amedee Geothermal Venture I,3.0,40.3008,-120.105,Geothermal,1988,California,Lassen,3.11
USA,Amelia,14.4,37.3097,-78.0589,Waste,2001,Virginia,Amelia,160.507
USA,Ameresco Butte County,2.3,39.674,-121.73,Waste,2013,California,Butte,
USA,Ameresco Chicopee Energy,7.8,42.1626,-72.5367,Waste,2005,Massachusetts,Hampden,245.235
USA,Ameresco Chiquita Canyon,9.2,34.4317,-118.6429,Waste,2010,California,Los Angeles,235.836
USA,Ameresco Dallas LLC,4.2,32.6486,-96.6444,Waste,2011,Texas,Dallas,138.34
USA,Ameresco Delaware Central,5.0,39.0339,-75.7233,Waste,2009,Maryland,Caroline,134.12800000000001
USA,Ameresco Delaware South,5.0,38.5992,-75.4342,Waste,2007,Delaware,Sussex,144.631
USA,Ameresco Forward,4.4,37.8834,-121.1851,Waste,2014,California,San Joaquin,
USA,Ameresco Janesville,3.0,42.7083,-89.0208,Waste,2004,Wisconsin,Rock,61.199
USA,Ameresco Jefferson City,3.0,38.5524,-92.0449,Waste,2009,Missouri,Callaway,112.96900000000002
USA,Ameresco Johnson Canyon,1.4,36.5342,-121.4086,Waste,2013,California,Monterey,45.377
USA,Ameresco Keller Canyon,3.8,38.0039,-121.9345,Waste,2009,California,Contra Costa,142.727
USA,Ameresco Ox Mountain,11.4,37.5,-122.4,Waste,2009,California,San Mateo,424.49
USA,Ameresco San Joaquin,4.4,38.0297,-120.9297,Waste,2014,California,Calaveras,
USA,Ameresco Santa Cruz Energy,3.0,36.9178,-121.8156,Waste,2006,California,Santa Cruz,92.03899999999999
USA,Ameresco Stafford,2.2,38.3842,-77.4131,Waste,2009,Virginia,Stafford,43.375
USA,Ameresco Vasco Road,4.4,37.7544,-121.7289,Waste,2014,California,Alameda,
USA,American Crystal Sugar Crookston,6.5,47.7647,-96.6334,Coal,1963,Minnesota,Polk,147.81248
USA,American Crystal Sugar Drayton,6.0,48.5932,-97.1761,Coal,1965,Minnesota,Kittson,144.51351
USA,American Crystal Sugar East Grand Forks,7.5,47.9272,-97.0072,Coal,1990,Minnesota,Polk,195.7557
USA,American Crystal Sugar Hillsboro,13.3,47.4376,-97.0631,Coal,1990,North Dakota,Traill,335.29739
USA,American Crystal Sugar Moorhead,5.0,46.9026,-96.7611,Coal,1953,Minnesota,Clay,169.77522
USA,American Falls,92.4,42.7778,-112.8764,Hydro,1978,Idaho,Power,1528.723
USA,American Falls Solar,20.0,42.824,-112.752,Solar,2017,Idaho,Power,
USA,American Falls Solar II,20.0,42.824,-112.752,Solar,2017,Idaho,Power,
USA,American Gypsum Cogeneration,9.6,39.6486,-106.9494,Gas,1990,Colorado,Eagle,92.391
USA,American Legion PV 1,16.0,36.4183,-77.6558,Solar,2018,North Carolina,Halifax,
USA,Ames Electric Services Power Plant,108.8,42.0258,-93.6089,Gas,1977,Iowa,Story,1387.037992
USA,Ames GT,78.7,42.0272,-93.5828,Oil,1996,Iowa,Story,2.028
USA,Ames Hydro,3.6,37.866,-107.8831,Hydro,1906,Colorado,San Miguel,30.335
USA,Amethyst Solar,3.0,35.3169,-81.9264,Solar,2016,North Carolina,Rutherford,
USA,Amherst College Co Gen,1.7,42.3717,-72.5122,Gas,2006,Massachusetts,Hampshire,34.0681
USA,Amistad Dam & Power,66.0,29.4498,-101.0601,Hydro,1983,Texas,Val Verde,403.34
USA,Amoskeag,16.0,43.0022,-71.4721,Hydro,1922,New Hampshire,Hillsborough,407.28099999999995
USA,Ampersand Chowchilla Biomass LLC,12.5,37.1067,-120.2485,Waste,2008,California,Madera,345.90999999999997
USA,Amphitheater High School Solar,1.0,32.269,-110.975,Solar,2017,Arizona,Pima,
USA,Anacacho Wind Farm  LLC,99.8,29.2347,-100.2092,Wind,2013,Texas,Kinney,1683.626
USA,Anadarko,7.8,39.757,-81.1155,Oil,1969,Ohio,Monroe,0.16300000000000003
USA,Anadarko Plant,534.9,35.0847,-98.23,Gas,1982,Oklahoma,Caddo,3372.27
USA,Anaheim GT,49.2,33.8535,-117.8563,Gas,1991,California,Orange,405.325
USA,Anaheim Solar Energy Plant,2.1,33.8025,-117.9197,Solar,2014,California,Orange,
USA,Anchor Wind  LLC,6.0,41.8508,-91.2342,Wind,2012,Iowa,Cedar,63.806999999999995
USA,Anchorage 1,77.9,61.2221,-149.8661,Gas,1994,Alaska,Anchorage,199.69199999999998
