County,State,Number_Of_NPL_Sites,NPL_Score_Sum,Number_Of_Harmful_Power_Plants,Generation_5years_Total,Incident_Rate_Trend,Recent_5years_Trend,Time_Adjusted_Cancer_Rate,NPL_Status,Powerplants_Status
Lyon,Iowa,0,0.0,1,0.07898000000000001,0.1,stable,0.4445,No NPL Sites,One Harmful Powerplants
Dallas,Iowa,0,0.0,0,0.0,-0.4,stable,0.4445,No NPL Sites,No Harmful Powerplants
Latah,Idaho,0,0.0,0,0.0,0.0,stable,0.4443,No NPL Sites,No Harmful Powerplants
Sheridan,Montana,0,0.0,0,0.0,-4.3,stable,0.4443,No NPL Sites,No Harmful Powerplants
Tate,Mississippi,0,0.0,0,0.0,-1.8,stable,0.4443,No NPL Sites,No Harmful Powerplants
Richmond,Virginia,0,0.0,1,2.596,2.2,stable,0.4442,No NPL Sites,One Harmful Powerplants
Seminole,Oklahoma,0,0.0,1,4084.2660000000014,-3.8,stable,0.4442,No NPL Sites,One Harmful Powerplants
Torrance,New Mexico,0,0.0,0,1499.42308,0.3,stable,0.4442,No NPL Sites,No Harmful Powerplants
Cullman,Alabama,0,0.0,0,0.0,-0.1,stable,0.444,No NPL Sites,No Harmful Powerplants
Abbeville,South Carolina,0,0.0,0,1484.615,0.7,stable,0.444,No NPL Sites,No Harmful Powerplants
Ripley,Indiana,0,0.0,0,0.0,3.0,stable,0.4439,No NPL Sites,No Harmful Powerplants
Grant,Oklahoma,0,0.0,0,5188.5120000000015,0.8,stable,0.4439,No NPL Sites,No Harmful Powerplants
Giles,Tennessee,0,0.0,0,0.0,-3.6,stable,0.4439,No NPL Sites,No Harmful Powerplants
Worth,Iowa,0,0.0,1,3437.006,0.2,stable,0.4438,No NPL Sites,One Harmful Powerplants
Matanuska-Susitna,Alaska,0,0.0,1,1210.119,-0.9,stable,0.4438,No NPL Sites,One Harmful Powerplants
Napa,California,0,0.0,1,29.55407,-3.1,falling,0.4437,No NPL Sites,One Harmful Powerplants
Taylor,Georgia,0,0.0,1,1280.268,0.0,stable,0.4436,No NPL Sites,One Harmful Powerplants
Morgan,Ohio,0,0.0,0,0.0,2.1,stable,0.4436,No NPL Sites,No Harmful Powerplants
Inyo,California,0,0.0,0,1155.955,-0.2,stable,0.4435000000000001,No NPL Sites,No Harmful Powerplants
Calumet,Wisconsin,1,48.92,1,18.76972,-3.7,stable,0.4435000000000001,Have NPL Sites,One Harmful Powerplants
Madison,Virginia,0,0.0,0,0.0,-2.7,stable,0.4435000000000001,No NPL Sites,No Harmful Powerplants
Josephine,Oregon,0,0.0,0,0.0,-4.8,stable,0.4435000000000001,No NPL Sites,No Harmful Powerplants
Monroe,Illinois,0,0.0,1,1.396,-3.0,stable,0.4435000000000001,No NPL Sites,One Harmful Powerplants
Williamsburg City,Virginia,0,0.0,0,0.0,-1.4,stable,0.4435000000000001,No NPL Sites,No Harmful Powerplants
Cape Girardeau,Missouri,1,31.2,1,0.74,-3.1,stable,0.4434,Have NPL Sites,One Harmful Powerplants
Clayton,Iowa,0,0.0,0,0.0,-0.3,stable,0.4432999999999999,No NPL Sites,No Harmful Powerplants
Lincoln,Mississippi,0,0.0,0,0.0,1.4,stable,0.4432999999999999,No NPL Sites,No Harmful Powerplants
Lamoille,Vermont,0,0.0,0,858.5770000000001,0.1,stable,0.4432999999999999,No NPL Sites,No Harmful Powerplants
Warrick,Indiana,0,0.0,2,30192.276905000002,-1.6,stable,0.4432,No NPL Sites,Two Harmful Powerplants
Gibson,Indiana,0,0.0,1,66.03,2.5,stable,0.4432,No NPL Sites,One Harmful Powerplants
Chesapeake City,Virginia,1,50.0,3,3418.803991,1.1,stable,0.4432,Have NPL Sites,More Than Two Harmful Powerplants
Mohave,Arizona,0,0.0,2,11134.607320000001,-2.9,stable,0.4431,No NPL Sites,Two Harmful Powerplants
Twiggs,Georgia,0,0.0,1,146.68,0.2,stable,0.44299999999999995,No NPL Sites,One Harmful Powerplants
Saline,Missouri,0,0.0,1,5.061,-0.1,stable,0.44299999999999995,No NPL Sites,One Harmful Powerplants
Phillips,Montana,0,0.0,0,0.0,5.1,stable,0.44299999999999995,No NPL Sites,No Harmful Powerplants
Faulk,South Dakota,0,0.0,1,-0.4260000000000001,-2.8,stable,0.44299999999999995,No NPL Sites,One Harmful Powerplants
Southeast Fairbanks,Alaska,0,0.0,5,70.72832,2.5,stable,0.44299999999999995,No NPL Sites,More Than Two Harmful Powerplants
Amelia,Virginia,0,0.0,2,161.41,-0.4,stable,0.44299999999999995,No NPL Sites,Two Harmful Powerplants
Emporia City,Virginia,0,0.0,0,34.51797,-3.3,stable,0.4429,No NPL Sites,No Harmful Powerplants
Mayes,Oklahoma,0,0.0,2,17247.907002,2.7,stable,0.4428,No NPL Sites,Two Harmful Powerplants
Woods,Oklahoma,0,0.0,1,73.52058000000002,-1.2,stable,0.4428,No NPL Sites,One Harmful Powerplants
Franklin,Vermont,0,0.0,0,590.2399999999999,1.0,stable,0.4428,No NPL Sites,No Harmful Powerplants
Clarke,Mississippi,0,0.0,0,0.0,-1.8,stable,0.4427,No NPL Sites,No Harmful Powerplants
Johnson,Arkansas,0,0.0,0,0.0,2.0,stable,0.4426,No NPL Sites,No Harmful Powerplants
Wakulla,Florida,0,0.0,0,0.0,-3.0,stable,0.4426,No NPL Sites,No Harmful Powerplants
Juniata,Pennsylvania,0,0.0,0,0.0,-0.6,stable,0.4426,No NPL Sites,No Harmful Powerplants
Schoolcraft,Michigan,0,0.0,1,406.075,3.3,stable,0.4424,No NPL Sites,One Harmful Powerplants
Comanche,Oklahoma,0,0.0,1,1200.944,-1.0,falling,0.4424,No NPL Sites,One Harmful Powerplants
Lenawee,Michigan,0,0.0,2,83.71499999999997,-2.3,stable,0.4423,No NPL Sites,Two Harmful Powerplants
Alexander,North Carolina,0,0.0,0,37.574,-0.2,stable,0.4423,No NPL Sites,No Harmful Powerplants
Bristol,Massachusetts,5,181.38,6,5109.633169999998,-4.5,falling,0.4423,Have NPL Sites,More Than Two Harmful Powerplants
Iron,Utah,0,0.0,0,1520.36,0.1,stable,0.4422,No NPL Sites,No Harmful Powerplants
Williamson,Tennessee,0,0.0,0,0.0,0.0,stable,0.4421000000000001,No NPL Sites,No Harmful Powerplants
Kleberg,Texas,0,0.0,0,0.0,1.8,stable,0.4421000000000001,No NPL Sites,No Harmful Powerplants
Tuscarawas,Ohio,1,31.38,2,263.96000000000004,0.1,stable,0.4421000000000001,Have NPL Sites,Two Harmful Powerplants
Gadsden,Florida,1,36.33,1,6968.379000000001,1.1,stable,0.4421000000000001,Have NPL Sites,One Harmful Powerplants
Rains,Texas,0,0.0,0,0.0,-1.9,stable,0.4421000000000001,No NPL Sites,No Harmful Powerplants
Clark,South Dakota,0,0.0,1,221.6200000000001,-4.4,stable,0.4420000000000001,No NPL Sites,One Harmful Powerplants
Kings,New York,2,100.0,5,635.4149770000001,-1.3,falling,0.4420000000000001,Have NPL Sites,More Than Two Harmful Powerplants
Pierce,Georgia,0,0.0,0,0.0,-0.7,stable,0.4420000000000001,No NPL Sites,No Harmful Powerplants
Palm Beach,Florida,1,50.0,6,131450.488231,-2.0,stable,0.4420000000000001,Have NPL Sites,More Than Two Harmful Powerplants
Columbiana,Ohio,1,47.19,0,0.0,-0.2,stable,0.4419,Have NPL Sites,No Harmful Powerplants
Lawrence,Missouri,1,43.78,0,0.0,2.7,stable,0.4419,Have NPL Sites,No Harmful Powerplants
