name,latitude,longitude,primary_fuel,state,normalized_county,Fips
Cove Point LNG Terminal,38.3855,-76.4098,Gas,Maryland,Calvert,24009
Coyote Springs,45.848,-119.6739,Gas,Oregon,Morrow,41049
Coyote Springs II,45.848,-119.674,Gas,Oregon,Morrow,41049
Creed Energy Center,38.2422,-121.8547,Gas,California,Solano,6095
Crete,40.6253,-96.9601,Gas,Nebraska,Saline,31151
Crete Energy Venture LLC,41.4294,-87.6187,Gas,Illinois,Will,17197
Crockett Cogen Project,38.0569,-122.2161,Gas,California,Contra Costa,6013
Crossroads Energy Center,34.183,-90.5621,Gas,Mississippi,Coahoma,28027
Culbertson Generation Station,48.21,-104.3917,Gas,Montana,Richland,30083
Cumberland (NJ),39.3757,-74.9654,Gas,New Jersey,Cumberland,34011
Cumberland (WI),45.5336,-92.0224,Gas,Wisconsin,Barron,55005
Cunningham,32.7131,-103.3533,Gas,New Mexico,Lea,35025
Currant Creek,39.8214,-111.8935,Gas,Utah,Juab,49023
Curtis,40.6315,-100.5152,Gas,Nebraska,Frontier,31063
Curtis H Stanton Energy Center,28.4882,-81.1669,Gas,Florida,Orange,12095
Custer Energy Center,44.0854,-87.7261,Gas,Wisconsin,Manitowoc,55071
Cutrale Citrus Juices USA I,28.8118,-81.8653,Gas,Florida,Lake,12069
Cutrale Citrus Juices USA II,28.0548,-81.7982,Gas,Florida,Polk,12105
Cuyamaca Peak Energy Plant,32.7965,-116.9721,Gas,California,San Diego,6073
Cymric 31X Cogen,35.3639,-119.6592,Gas,California,Kern,6029
Cymric 36W Cogen,35.3633,-119.6756,Gas,California,Kern,6029
Cymric 6Z Cogen,35.3461,-119.6434,Gas,California,Kern,6029
D G Hunter,31.3207,-92.4613,Gas,Louisiana,Rapides,22079
DGS Central Utility Plant,38.5739,-121.5014,Gas,California,Sacramento,6067
Dahlberg,34.0423,-83.3977,Gas,Georgia,Clarke,13059
Dan E Karn,43.645,-83.8401,Gas,Michigan,Bay,26017
Dan River,36.4862,-79.7208,Gas,North Carolina,Rockingham,37157
Danbury Hospital Cogen Plant,41.4053,-73.4475,Gas,Connecticut,Fairfield,9001
Dansby,30.7217,-96.4608,Gas,Texas,Brazos,48041
Danskammer Generating Station,41.5712,-73.975,Gas,New York,Ulster,36111
Darby Power  LLC,39.7139,-83.1778,Gas,Ohio,Madison,39097
Darbytown,37.4982,-77.3685,Gas,Virginia,Henrico,51087
Darlington County,34.4185,-80.1657,Gas,South Carolina,Darlington,45031
Dartmouth Power Associates LP,41.6731,-70.9994,Gas,Massachusetts,Bristol,25005
Dave Gates Generating Station,46.1047,-112.8766,Gas,Montana,Deer Lodge,30023
De Pere Energy Center,44.4486,-88.072,Gas,Wisconsin,Brown,55009
DeCordova Steam Electric Station,32.4031,-97.7006,Gas,Texas,Hood,48221
Dean,42.7725,-82.4953,Gas,Michigan,St Clair,26147
Dearborn Industrial Generation,42.3026,-83.154,Gas,Michigan,Wayne,26163
Decatur Energy Center,34.6292,-87.0214,Gas,Alabama,Morgan,1103
Decker Creek,30.3033,-97.6128,Gas,Texas,Travis,48453
Decorative Panels Intl,45.0628,-83.4233,Gas,Michigan,Alpena,26007
Deer Creek Station,44.2908,-96.5267,Gas,South Dakota,Moody,46101
Deer Park Energy Center,29.7134,-95.1345,Gas,Texas,Harris,48201
Delano Energy Center,35.7909,-119.2945,Gas,California,Kern,6029
Delaware City Plant,39.5871,-75.6343,Gas,Delaware,New Castle,10003
Dell Power Station,35.8619,-90.0253,Gas,Arkansas,Mississippi,5093
Delray,42.2947,-83.1019,Gas,Michigan,Wayne,26163
Delta Energy Center,38.0169,-121.8439,Gas,California,Contra Costa,6013
