State,FIPS,case_per_100k,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,incidence_rate_trend,Lower 95% CI,Upper 95% CI,county,State_Code,Cancer_Rate
Mississippi,28135,477.3,430.4,528.1,78,stable,4.5,0.0,9.2,Tallahatchie,MS,0.004773
Texas,48331,477.2,443.3,513.2,158,stable,-1.4,-6.7,4.3,Milam,TX,0.004772
Virginia,51740,477.2,458.3,496.6,506,stable,0.9,-7.9,10.5,Portsmouth City,VA,0.004772
Missouri,29011,477.1,428.6,530.0,77,stable,0.9,-8.2,11.0,Barton,MO,0.004771
Connecticut,09009,477.1,471.1,483.2,5053,falling,-2.0,-2.9,-1.2,New Haven,CT,0.004771
New York,36025,477.1,453.1,502.2,338,stable,-0.6,-1.3,0.0,Delaware,NY,0.004771
Massachusetts,25001,477.1,466.3,488.0,1854,falling,-1.5,-1.9,-1.1,Barnstable,MA,0.004771
Ohio,39085,477.1,465.8,488.5,1471,stable,-1.6,-4.8,1.7,Lake,OH,0.004771
Montana,30043,477.0,425.9,533.2,77,stable,-0.4,-17.8,20.6,Jefferson,MT,0.00477
Nebraska,31079,476.9,453.4,501.2,323,stable,-1.8,-10.0,7.2,Hall,NE,0.004769
Iowa,19169,476.9,455.3,499.2,386,stable,0.2,-0.2,0.5,Story,IA,0.004769
Pennsylvania,42033,476.7,458.4,495.7,537,stable,1.9,-2.3,6.2,Clearfield,PA,0.0047669999999999995
Louisiana,22033,476.6,467.5,485.9,2182,stable,-0.4,-0.9,0.0,East Baton Rouge,LA,0.004766
Oklahoma,40019,476.6,451.3,502.9,278,stable,-1.3,-6.7,4.3,Carter,OK,0.004766
Tennessee,47171,476.5,438.6,517.2,129,stable,-4.6,-18.3,11.2,Unicoi,TN,0.004765
Virginia,51175,476.5,437.9,517.9,122,stable,7.7,-5.6,22.9,Southampton,VA,0.004765
Iowa,19075,476.5,430.7,526.3,85,stable,0.4,-0.4,1.1,Grundy,IA,0.004765
